PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
14593,20140530,3571,AAPL,APPLE INC,334111,633.00000,2051679,0.078293,861381,0.020260,0.006647,0.021030
14593,20140630,3571,AAPL,APPLE INC,334111,92.93000,8535462,0.027662,5989171,0.027991,0.039501,0.019058
14593,20140731,3571,AAPL,APPLE INC,334111,95.60000,10375564,0.028731,5987867,-0.020567,-0.035223,-0.015080
14593,20140829,3571,AAPL,APPLE INC,334111,102.50000,9380685,0.077092,5987867,0.040225,0.033697,0.037655
14593,20140930,3571,AAPL,APPLE INC,334111,100.75000,15283673,-0.017073,5866161,-0.025209,-0.044988,-0.015514
14593,20141031,3571,AAPL,APPLE INC,334111,108.00000,13609713,0.071960,5864840,0.021174,0.014199,0.023201
14593,20141128,3571,AAPL,APPLE INC,334111,118.93000,8213451,0.105556,5864840,0.021114,-0.002458,0.024534
14593,20141231,3571,AAPL,APPLE INC,334111,110.38000,10766123,-0.071891,5826419,-0.003662,-0.000189,-0.004189
14593,20150130,3571,AAPL,APPLE INC,334111,117.16000,13062738,0.061424,5824748,-0.027207,-0.019073,-0.031041
14593,20150227,3571,AAPL,APPLE INC,334111,128.46001,11373392,0.100461,5824748,0.055974,0.054120,0.054893
14593,20150331,3571,AAPL,APPLE INC,334111,124.43000,11389236,-0.031372,5824748,-0.010410,-0.005112,-0.017396
14593,20150430,3571,AAPL,APPLE INC,334111,125.15000,9962108,0.005786,5762278,0.008776,0.015127,0.008521
14593,20150529,3571,AAPL,APPLE INC,334111,130.28000,9552599,0.045146,5762278,0.010290,0.003970,0.010491
14593,20150630,3571,AAPL,APPLE INC,334111,125.42500,8789027,-0.037266,5705400,-0.019238,-0.013459,-0.021012
14593,20150731,3571,AAPL,APPLE INC,334111,121.30000,10600330,-0.032888,5702722,0.012110,-0.027130,0.019742
14593,20150831,3571,AAPL,APPLE INC,334111,112.76000,16079713,-0.066117,5702722,-0.059982,-0.047295,-0.062581
14593,20150930,3571,AAPL,APPLE INC,334111,110.30000,12091001,-0.021816,5702722,-0.033793,-0.049906,-0.026443
14593,20151030,3571,AAPL,APPLE INC,334111,119.50000,11147142,0.083409,5575331,0.074006,0.052851,0.082983
14593,20151130,3571,AAPL,APPLE INC,334111,118.30000,7517860,-0.005690,5575331,0.002410,0.007326,0.000505
14593,20151231,3571,AAPL,APPLE INC,334111,105.26000,9237703,-0.110228,5544487,-0.022227,-0.035860,-0.017530
14593,20160129,3571,AAPL,APPLE INC,334111,97.34000,12705755,-0.075242,5544583,-0.057148,-0.074934,-0.050735
14593,20160229,3571,AAPL,APPLE INC,334111,96.69000,8115988,-0.001335,5544583,0.000613,0.005564,-0.004128
14593,20160331,3571,AAPL,APPLE INC,334111,108.99000,7462865,0.127211,5478446,0.070554,0.078181,0.065991
14593,20160429,3571,AAPL,APPLE INC,334111,93.74000,8736024,-0.139921,5477425,0.011725,0.039818,0.002699
14593,20160531,3571,AAPL,APPLE INC,334111,99.86000,9014125,0.071368,5477425,0.014354,-0.000584,0.015329
14593,20160630,3571,AAPL,APPLE INC,334111,95.60000,7810042,-0.042660,5393165,0.002929,0.005847,0.000906
14593,20160729,3571,AAPL,APPLE INC,334111,104.21000,6860207,0.090063,5388443,0.038849,0.049900,0.035610
14593,20160831,3571,AAPL,APPLE INC,334111,106.10000,6322814,0.023606,5388443,0.002806,0.012873,-0.001219
14593,20160930,3571,AAPL,APPLE INC,334111,113.05000,9701084,0.065504,5388443,0.003015,0.015368,-0.001234
14593,20161031,3571,AAPL,APPLE INC,334111,113.54000,6880542,0.004334,5332313,-0.021566,-0.039930,-0.019426
14593,20161130,3571,AAPL,APPLE INC,334111,110.52000,7252313,-0.021578,5332313,0.040543,0.050508,0.034174
14593,20161230,3571,AAPL,APPLE INC,334111,115.82000,6107580,0.047955,5257816,0.018772,0.015897,0.018201
14593,20170131,3571,AAPL,APPLE INC,334111,121.35000,5633445,0.047746,5246540,0.022173,0.025937,0.017884
14593,20170228,3571,AAPL,APPLE INC,334111,136.99001,5765024,0.133581,5246540,0.032623,0.017121,0.037198
14593,20170331,3571,AAPL,APPLE INC,334111,143.66000,5625243,0.048690,5205815,0.002064,0.006378,-0.000389
14593,20170428,3571,AAPL,APPLE INC,334111,143.64999,3744562,-0.000070,5213840,0.009657,0.003709,0.009091
14593,20170531,3571,AAPL,APPLE INC,334111,152.75999,6555619,0.067804,5213840,0.009335,-0.011302,0.011576
14593,20170630,3571,AAPL,APPLE INC,334111,144.02000,6847120,-0.057214,5169782,0.009580,0.022960,0.004814
14593,20170731,3571,AAPL,APPLE INC,334111,148.73000,4222408,0.032704,5165228,0.020294,0.009082,0.019349
14593,20170831,3571,AAPL,APPLE INC,334111,164.00000,6617859,0.106905,5165228,0.001593,-0.008726,0.000546
14593,20170929,3571,AAPL,APPLE INC,334111,154.12000,6805415,-0.060244,5126201,0.023758,0.046845,0.019303
14593,20171031,3571,AAPL,APPLE INC,334111,169.03999,5043862,0.096808,5134312,0.019294,0.002239,0.022188
14593,20171130,3571,AAPL,APPLE INC,334111,171.85001,6016020,0.020350,5134312,0.027260,0.020843,0.028083
14593,20171229,3571,AAPL,APPLE INC,334220,169.23000,5319099,-0.015246,5087056,0.012129,0.014185,0.009832
14593,20180131,3571,AAPL,APPLE INC,334220,167.42999,6597524,-0.010636,5074013,0.050638,0.029441,0.056179
14593,20180228,3571,AAPL,APPLE INC,334220,178.12000,9326122,0.067610,5074013,-0.039481,-0.040026,-0.038947
